Transaction_ID,Date,Shop,Location,Staff,Business Type,Item,Category,Weight,Karat,Making,Sales,Cost,Profit
1071,4/1/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,10.61,22K,0.37,3708.57,2819.6075,888.9625
1072,3/7/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Bracelet,3.16,22K,103.17,1133.33,855.57,277.76
1073,3/7/2025,Alras,UAE,BABY JEAN-386,Retail,22K,CHAIN,5.04,22K,85.53,1728.57,1372.14,356.43
1074,3/7/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Bracelet,5.7,22K,189.42,2047.62,1531.875,515.745
1075,3/8/2025,Alras,UAE,BABY JEAN-386,Retail,22K,LOCKET,1.15,22K,86.71,461.9,307.3375,154.5625
1076,3/8/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Bracelet,10.3,22K,453.9,3814.28,2768.125,1046.155
1077,3/8/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,1.9,22K,122.98,742.86,515.375,227.485
1078,3/8/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,10.7,22K,332.93,3823.81,2891.675,932.135
1079,3/8/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,1.9,22K,122.98,742.86,515.375,227.485
1080,3/14/2025,Alras,UAE,BABY JEAN-386,Retail,22K,RING,3.51,22K,90.82,1266.67,948.5775,318.0925
1081,3/23/2025,Alras,UAE,BABY JEAN-386,Retail,22K,LOCKET,0.71,22K,60.37,300,191.8775,108.1225
1082,4/18/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,4.86,22K,105.25,1909.53,1320.705,588.825
1083,4/24/2025,Alras,UAE,BABY JEAN-386,Retail,24K,BAR,1,24K,18.57,419.07,292.5,126.57
1084,3/8/2025,Alras,UAE,BABY JEAN-386,Retail,999,LOOSE,30.01,999,1.49,10520,8478.194418,2041.805582
